stop_id,lat,long,g_id,boundary_g_id,lower_cut_stops_0,lower_cut_stops_1,lower_cut_stops_2,lower_cut_stops_3
57,46.7119988439719,8.217896018103419,2,-1,0,0,1,0
58,46.849996741975204,9.512718685660687,1,-1,0,1,0,0
59,47.407068609748706,7.5399734056954095,2,-1,0,0,1,0
60,46.18294556830621,7.82817091518675,1,-1,0,1,0,0
61,46.831187661330794,7.5362274309601105,2,-1,0,0,1,0
62,47.222514290991,8.2523464092542,1,-1,0,1,0,0
63,46.233095845258596,7.8583004098203215,2,-1,0,0,1,0
64,47.3907300180676,6.93904539630001,2,-1,0,0,1,0
65,47.26008272789411,7.94267018131657,1,-1,0,1,0,0
66,46.8586463394053,8.64021199953247,1,-1,0,1,0,0
67,47.0540691317615,8.3351620953087,3,-1,0,0,0,1
68,47.147676283043296,7.257381383577759,2,-1,0,0,0,0
69,47.327474388031504,8.7851911032567,1,-1,0,1,0,0
70,48.5502622200229,9.89456556353453,1,-1,0,1,0,0
71,46.94688097100579,7.5564574911613,2,-1,0,0,0,0
72,46.6451151870981,9.421629515838301,3,-1,0,0,0,1
73,46.9792083180832,7.45762484358871,2,-1,0,0,0,0
74,47.12138653599261,8.394774297571171,1,-1,0,1,0,0
75,47.169214162059404,8.449894923412419,1,-1,0,1,0,0
76,47.7043113529804,8.478623046202559,3,-1,0,0,0,1
77,47.2142102687317,8.800731957674131,1,-1,0,1,0,0
78,46.167475352673996,8.76158337758676,3,-1,0,0,0,1
79,47.527223508459905,8.922202150409689,1,-1,0,1,0,0
80,45.9943883861716,8.79172185537316,3,-1,0,0,0,1
81,48.059894888969296,8.535854712961779,1,-1,0,1,0,0
82,48.8004173757424,9.50199280116681,1,-1,0,1,0,0
83,46.72179146791739,7.06568988507281,2,-1,0,0,1,0
84,47.394707201726206,8.33914163201791,0,-1,1,0,0,0
85,46.8180093953976,7.75352989821887,2,-1,0,0,1,0
86,46.4714315326704,6.847273506861581,2,-1,0,0,1,0
87,47.18463836993499,8.31405168612895,1,-1,0,1,0,0
88,46.8623748199013,9.537943378842279,1,-1,0,1,0,0
89,47.0628877445755,7.0952175084659315,2,-1,0,0,0,0
90,46.7355104694218,7.65805694980936,2,-1,0,0,1,0
91,47.48462442988979,7.731655921047518,2,-1,0,0,1,0
92,46.8077177758172,6.5492933439248215,2,-1,0,0,1,0
93,47.554039540600996,7.54157240690137,2,-1,0,0,1,0
94,46.2554550490106,7.3073187302289115,2,-1,0,0,1,0
95,46.2529642412457,10.1270765085556,1,-1,0,1,0,0
96,45.969843903051796,8.85826006847716,3,-1,0,0,0,1
97,47.1414319646173,7.25592611281728,2,-1,0,0,0,0
98,46.9508056807512,7.47287823711518,2,-1,0,0,0,0
99,46.115658584733296,7.933965506212242,2,-1,0,0,1,0
100,46.774031849637396,7.02456501136009,2,-1,0,0,1,0
101,47.2241066110099,8.817647234476462,1,-1,0,1,0,0
102,46.7547653696815,9.06242916628026,1,-1,0,1,0,0
103,46.2682116770675,7.8620733340141395,2,-1,0,0,1,0
104,47.4054757135752,8.04690170374746,1,-1,0,1,0,0
105,47.3505886750605,7.9011141162674114,1,-1,0,1,0,0
106,47.6438840765522,9.17673978620038,1,-1,0,1,0,0
107,46.31475376595351,6.93936878980234,2,-1,0,0,1,0
108,47.33408037232039,8.478703894578139,0,-1,0,0,0,0
109,46.7583102792426,9.438463944265036,1,-1,0,1,0,0
110,47.1374418154674,8.60025493568928,1,-1,0,1,0,0
111,47.4765133389447,8.306712450256681,0,-1,1,0,0,0
112,47.33210779626061,8.54184647590769,0,-1,0,0,0,0
113,47.6077879274853,8.77025212007972,1,-1,0,1,0,0
114,46.4777541185607,6.85238492082893,2,-1,0,0,1,0
115,47.41201722413901,8.54411023042399,1,-1,0,1,0,0
116,47.182342730493204,8.471436523928599,1,-1,0,1,0,0
117,47.048095391338904,8.46450152993424,1,-1,0,1,0,0
118,46.9162951746947,7.52004877269087,2,-1,0,0,0,0
119,47.387427632930404,8.25200504944618,0,-1,0,0,0,0
120,46.98477305078771,7.49865090262016,2,-1,0,0,0,0
121,47.086937210381095,7.243457496671961,2,-1,0,0,0,0
122,46.9882599063624,8.040505698923639,2,-1,0,0,1,0
123,46.53487152293589,6.60558177963558,3,-1,0,0,0,0
124,47.439074393351,7.85146423050722,2,-1,0,0,1,0
125,47.2984957157481,9.10676102555773,1,-1,0,0,0,0
126,47.19262959564361,8.780214436581991,1,-1,0,1,0,0
127,47.44587903891371,8.35764692687335,0,-1,1,0,0,0
128,47.3656863290094,9.28492389588196,1,-1,0,0,0,0
129,46.2642309837039,10.1203032113124,1,-1,0,1,0,0
130,47.113268433197696,7.11625605242293,2,-1,0,0,0,0
131,46.762599554156196,7.50865813488665,2,-1,0,0,1,0
132,46.997990032987005,6.952825552760321,2,-1,0,0,0,0
